Customer ID,Gender,Age,Senior Citizen,Married,Dependents,Number of Dependents,Country,State,City,Zip Code,Latitude,Longitude,Population,Monthly Charge,Total Charges,Total Revenue,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Payment Method,Paperless Billing,Phone Service,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Offer,Tenure in Months,Referred a Friend,Number of Referrals,Satisfaction Score,Customer Status,Churn Reason,Churn Category,Churn Label,Churn Score,CLTV,Churn,Tenure Category,Age Group,ARPU,Payment Consistency,Service Bundling Score,Complaint Frequency,Engagement Index,Senior Flag
0257-ZESQC,Female,80,Yes,Yes,No,0,United States,California,Perris,92571,33.828289,-117.201666,26357,75.2,1929.35,2118.89,0.0,0,189.54,Bank Withdrawal,Yes,Yes,No,Yes,Cable,25,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Offer B,27,Yes,2,1,Churned,Attitude of support person,Attitude,Yes,91,4517,1,2-3 Years,61+,78.4774074074074,1.0435825453112686,1,2,26,1
2865-TCHJW,Female,74,Yes,No,No,0,United States,California,Anaheim,92807,33.848733,-117.788357,36301,89.2,346.2,539.6,0.0,0,193.4,Bank Withdrawal,Yes,Yes,Yes,Yes,Cable,24,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Offer B,4,No,0,1,Churned,Competitor had better devices,Competitor,Yes,74,5808,1,0-1 Year,61+,134.9,1.5123318385650224,2,0,26,1
5192-EBGOV,Female,68,Yes,No,No,0,United States,California,Brea,92823,33.924143,-117.79387,1408,85.7,85.7,131.51,0.0,0,45.81,Bank Withdrawal,Yes,Yes,Yes,Yes,Fiber Optic,21,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Offer B,1,No,0,1,Churned,Competitor had better devices,Competitor,Yes,66,4880,1,0-1 Year,61+,131.51,1.534539089848308,1,0,22,1
3419-SNJJD,Female,78,Yes,Yes,No,0,United States,California,Yorba Linda,92887,33.884073,-117.732197,20893,105.25,6786.4,7981.75,0.0,0,1195.35,Bank Withdrawal,No,Yes,Yes,Yes,Fiber Optic,28,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Offer B,65,Yes,3,1,Churned,Attitude of support person,Attitude,Yes,91,4196,1,3+ Years,61+,122.79615384615384,1.1667093002009867,4,3,32,1
4554-YGZIH,Male,75,Yes,Yes,No,0,United States,California,Summerland,93067,34.420998,-119.60137,576,90.05,4547.25,5670.33,0.0,0,1123.08,Credit Card,No,Yes,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,Offer B,49,Yes,3,2,Churned,Competitor made better offer,Competitor,Yes,96,5059,1,3+ Years,61+,115.72102040816327,1.2850751849879318,2,3,16,1
5099-BAILX,Male,77,Yes,Yes,No,0,United States,California,Santa Barbara,93101,34.419203,-119.710008,31727,110.75,4687.9,5312.26,0.0,0,624.36,Bank Withdrawal,Yes,Yes,Yes,Yes,Fiber Optic,5,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Offer B,43,Yes,1,2,Churned,Competitor made better offer,Competitor,Yes,65,2728,1,3+ Years,61+,123.54093023255814,1.115493726704814,5,1,10,1
4913-EHYUI,Male,80,Yes,Yes,No,0,United States,California,Alpaugh,93201,35.869626,-119.498771,1054,104.55,5794.65,8527.45,0.0,0,2732.8,Bank Withdrawal,Yes,Yes,Yes,Yes,Fiber Optic,12,Yes,No,Yes,No,Yes,Yes,No,Yes,One Year,Offer B,56,No,0,1,Churned,Competitor offered higher download speeds,Competitor,Yes,91,6268,1,3+ Years,61+,152.27589285714288,1.456488693038191,4,0,16,1
1626-ERCMM,Male,75,Yes,Yes,No,0,United States,California,Camp Nelson,93208,36.057458,-118.591951,191,94.55,1899.65,2005.85,0.0,0,106.2,Bank Withdrawal,Yes,Yes,Yes,Yes,Fiber Optic,10,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Offer B,20,Yes,7,1,Churned,Competitor had better devices,Competitor,Yes,84,5604,1,1-2 Years,61+,100.29249999999999,1.060735060814384,3,7,13,1
5644-PDMZC,Female,69,Yes,No,No,0,United States,California,Delano,93215,35.772244,-119.209689,37280,89.5,161.5,256.44,0.0,0,94.94,Bank Withdrawal,No,Yes,Yes,Yes,Fiber Optic,19,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Offer B,2,No,0,2,Churned,Attitude of support person,Attitude,Yes,80,2065,1,0-1 Year,61+,128.22,1.4326256983240224,3,0,22,1
4160-AMJTL,Female,74,Yes,No,No,0,United States,California,Fellows,93224,35.215731,-119.57013,626,19.65,164.3,387.9,0.0,0,223.6,Bank Withdrawal,No,Yes,No,No,Fiber Optic,0,No,No,No,No,No,No,No,No,Month-to-Month,Offer B,8,No,0,2,Churned,Attitude of support person,Attitude,Yes,83,5432,1,0-1 Year,61+,48.4875,2.467557251908397,0,0,0,1
0823-HSCDJ,Male,76,Yes,No,No,0,United States,California,Temecula,92592,33.507255,-117.029473,46171,49.15,2550.9,2580.9,0.0,30,0.0,Bank Withdrawal,Yes,No,No,Yes,DSL,18,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Offer B,52,No,0,2,Churned,Competitor made better offer,Competitor,Yes,90,5597,1,3+ Years,61+,49.63269230769231,1.0098207997495894,4,0,22,1
0067-DKWBL,Male,69,Yes,No,No,0,United States,California,San Diego,92129,32.961064,-117.134917,47224,49.25,91.1,179.08,0.0,0,87.98,Bank Withdrawal,Yes,Yes,No,Yes,DSL,27,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Offer B,2,No,0,2,Churned,Competitor made better offer,Competitor,Yes,95,3475,1,0-1 Year,61+,89.54,1.8180710659898478,1,0,28,1
5244-IRFIH,Male,72,Yes,Yes,No,0,United States,California,San Diego,92129,32.961064,-117.134917,47224,94.5,3105.55,4022.29,0.0,0,916.74,Bank Withdrawal,Yes,Yes,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Offer B,33,Yes,1,3,Churned,Poor expertise of online support,Other,Yes,91,4333,1,2-3 Years,61+,121.88757575757576,1.2898156164822832,2,1,10,1
2684-EIWEO,Female,69,Yes,No,No,0,United States,California,San Diego,92129,32.961064,-117.134917,47224,91.7,2758.15,4134.55,0.0,0,1376.4,Credit Card,No,Yes,Yes,Yes,Fiber Optic,19,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Offer B,30,No,0,1,Churned,Competitor made better offer,Competitor,Yes,90,2482,1,2-3 Years,61+,137.81833333333333,1.5029262086513995,3,0,22,1
6683-VLCTZ,Male,73,Yes,No,No,0,United States,California,San Diego,92129,32.961064,-117.134917,47224,98.55,1842.8,2851.6,0.0,120,888.8,Bank Withdrawal,Yes,Yes,Yes,Yes,Fiber Optic,13,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Offer B,20,No,0,3,Churned,Competitor made better offer,Competitor,Yes,92,5444,1,1-2 Years,61+,142.57999999999998,1.4467782851344495,3,0,16,1
0691-IFBQW,Female,65,Yes,No,No,0,United States,California,Biola,93606,36.798882,-120.019511,807,110.0,4874.8,4983.82,0.0,0,109.02,Bank Withdrawal,Yes,Yes,Yes,Yes,Fiber Optic,20,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Offer B,46,No,0,1,Churned,Competitor made better offer,Competitor,Yes,81,2403,1,3+ Years,61+,108.34391304347825,0.9849446640316205,6,0,26,1
3643-AHCFP,Male,74,Yes,Yes,No,0,United States,California,Selma,93662,36.545322,-119.642281,26213,95.6,644.35,797.72,0.0,0,153.37,Bank Withdrawal,Yes,Yes,Yes,Yes,Cable,11,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Offer B,7,Yes,1,3,Churned,Competitor made better offer,Competitor,Yes,83,3265,1,0-1 Year,61+,113.96000000000001,1.1920502092050211,2,1,13,1
9231-ZJYAM,Female,65,Yes,No,No,0,United States,California,Squaw Valley,93675,36.719141,-119.202677,3146,78.85,292.8,440.52,0.0,0,147.72,Bank Withdrawal,Yes,Yes,No,Yes,Fiber Optic,18,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Offer B,4,No,0,3,Churned,Moved,Other,Yes,72,5301,1,0-1 Year,61+,110.13,1.396702599873177,1,0,19,1
0727-BMPLR,Female,66,Yes,No,No,0,United States,California,Fresno,93706,36.654614,-119.903674,35790,100.0,5509.3,7665.2,0.0,100,2055.9,Bank Withdrawal,Yes,Yes,Yes,Yes,Fiber Optic,7,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Offer B,55,No,0,3,Churned,Competitor offered higher download speeds,Competitor,Yes,83,5679,1,3+ Years,61+,139.36727272727273,1.3936727272727272,4,0,11,1
0947-MUGVO,Male,71,Yes,Yes,No,0,United States,California,Jolon,93928,35.930782,-121.189757,254,73.65,1463.5,1570.9,0.0,0,107.4,Bank Withdrawal,Yes,Yes,No,Yes,Fiber Optic,24,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Offer B,20,Yes,1,1,Churned,Competitor had better devices,Competitor,Yes,95,5849,1,1-2 Years,61+,78.545,1.0664630006788867,1,1,25,1
0781-LKXBR,Male,65,Yes,No,No,0,United States,California,San Francisco,94102,37.7795,-122.419233,28998,100.5,918.6,1356.99,0.0,0,438.39,Bank Withdrawal,Yes,Yes,Yes,Yes,Fiber Optic,15,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Offer B,9,No,0,1,Churned,Competitor had better devices,Competitor,Yes,70,4038,1,0-1 Year,61+,150.77666666666667,1.5002653399668324,4,0,19,1
1907-UBQFC,Male,69,Yes,No,No,0,United States,California,San Francisco,94108,37.791998,-122.408653,13723,72.85,688.65,773.25,0.0,30,54.6,Bank Withdrawal,Yes,Yes,No,Yes,Fiber Optic,24,No,Yes,No,No,No,No,No,No,Month-to-Month,Offer B,10,No,0,1,Churned,Competitor had better devices,Competitor,Yes,91,3189,1,0-1 Year,61+,77.325,1.0614275909402882,1,0,25,1
6513-EECDB,Male,75,Yes,Yes,No,0,United States,California,San Francisco,94114,37.758085,-122.434801,30587,73.55,73.55,110.47,0.0,0,36.92,Bank Withdrawal,Yes,Yes,Yes,Yes,Fiber Optic,6,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer B,1,No,0,2,Churned,Price too high,Price,Yes,94,4369,1,0-1 Year,61+,110.47,1.5019714479945616,0,0,6,1
7074-IEVOJ,Female,75,Yes,No,No,0,United States,California,San Francisco,94130,37.820894,-122.369725,1458,79.4,205.05,330.75,0.0,0,125.7,Bank Withdrawal,Yes,Yes,Yes,Yes,Fiber Optic,11,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Offer B,3,No,0,1,Churned,Product dissatisfaction,Dissatisfaction,Yes,91,3501,1,0-1 Year,61+,110.25,1.3885390428211586,1,0,12,1
4750-ZRXIU,Female,68,Yes,No,No,0,United States,California,Palo Alto,94304,37.386978,-122.177746,1723,84.6,360.1,386.82,0.0,0,26.72,Bank Withdrawal,Yes,Yes,Yes,Yes,Cable,17,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Offer B,4,No,0,1,Churned,Competitor had better devices,Competitor,Yes,83,2467,1,0-1 Year,61+,96.705,1.1430851063829788,1,0,18,1
7028-DVOIQ,Male,71,Yes,No,No,0,United States,California,Birds Landing,94512,38.140719,-121.838298,138,99.05,3395.8,4244.85,0.0,120,729.05,Bank Withdrawal,Yes,Yes,Yes,Yes,Fiber Optic,19,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Offer B,35,No,0,1,Churned,Don't know,Other,Yes,82,2074,1,2-3 Years,61+,121.28142857142858,1.224446527727699,3,0,22,1
4208-UFFGW,Male,80,Yes,No,No,0,United States,California,Byron,94514,37.83323,-121.601461,10153,44.95,85.15,138.39,0.0,0,53.24,Credit Card,No,Yes,No,Yes,DSL,11,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer E,2,No,0,2,Churned,Don't know,Other,Yes,84,5900,1,0-1 Year,61+,69.195,1.5393770856507227,0,0,11,1
9889-TMAHG,Male,66,Yes,No,No,0,United States,California,Fremont,94539,37.516791,-121.899117,46917,100.3,832.35,924.91,0.0,0,92.56,Credit Card,No,Yes,No,Yes,Fiber Optic,27,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Offer B,8,No,0,1,Churned,Competitor had better devices,Competitor,Yes,74,5084,1,0-1 Year,61+,115.61375,1.1526794616151546,5,0,32,1
8919-FYFQZ,Male,73,Yes,Yes,No,0,United States,California,Livermore,94550,37.571748,-121.659562,75929,30.35,1359.7,1359.7,0.0,0,0.0,Bank Withdrawal,Yes,No,No,Yes,Cable,28,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Offer B,44,Yes,2,1,Churned,Competitor had better devices,Competitor,Yes,96,4829,1,3+ Years,61+,30.902272727272727,1.0181967949678,1,2,29,1
6646-QVXLR,Male,77,Yes,Yes,No,0,United States,California,Napa,94558,38.489789,-122.27011,63947,103.75,6383.35,6824.17,0.0,0,440.82,Bank Withdrawal,Yes,Yes,Yes,Yes,Fiber Optic,16,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Offer B,62,Yes,1,1,Churned,Competitor had better devices,Competitor,Yes,91,5052,1,3+ Years,61+,110.06725806451612,1.060889234356782,5,1,21,1
